v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AG210,m3,"Zahorra natural S-2","ARENA Y GRAVA NATURAL",,,1650,,,1650,0
P01AG211,t,"Zahorra natural S-2","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AJM010,m3,"Arena gruesa silícea de machaque","ARENA DE SILICE",,,1700,,,1700,0
P01AJM020,u,"Marmolina decor.color sacos","ARENA Y GRAVA MACHAQUEO",,,10,,,10,0
P01AJM025,m3,"Marmolina decor.color","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM026,m3,"Marmolina redonda","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM030,m3,"Mármol machacado paseos color","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM040,m3,"Gravilla color 9-12 mm.","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM050,m3,"Escoria horno carbón cribada","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM052,m3,"Tierra volcánica roja","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM054,m3,"Saulo o jabre  (gris)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM055,m3,"Jabre especial paseos (rojo)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM056,m3,"Todo uno para paseos","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM058,m3,"Arrocillo blanco 5-12","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM060,m3,"Arrocillo de ladrillo (pistas de","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJM070,m3,"Polvo de ladrillo (pistas deport","CASCOTE DE LADRILLO",,,1300,,,1300,0
P01AJM080,m3,"Cenizas (pistas deport.)","CASCOTE DE LADRILLO",,,1300,,,1300,0
P01AJM086,u,"Perlita (envasado en 125 litros)","PERLITA EXPANDIDA",,,"23,75",,,"23,75",0
P01AJM088,m3,"Zahorras -2","ARENA Y GRAVA NATURAL",,,1650,,,1650,0
P01AJM090,m3,"Granito molido 5/12 mm. paseos","ARENA Y GRAVA MACHAQUEO",,,2100,,,2100,0
P01AJM100,m3,"Escama de pizarra triturada","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AJM110,m3,"Triturado cerámico de recuperación","ARENA Y GRAVA MACHAQUEO",,,1500,,,1500,0
P01AJR001,m3,"Arena de miga sin cribar","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR002,m3,"Arena de miga cribada","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR006,m3,"Arena de río cribada","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR010,m3,"Arena especial de río granulom.","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR015,m3,"Arena de río 50% de miga 50%","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR020,m3,"Arena silícea blanca espec.golf","ARENA DE SILICE",,,1700,,,1700,0
P01AJR030,m3,"Arena silícea amarilla (albero)","ARENA DE SILICE",,,1700,,,1700,0
P01AJR032,m3,"Grava y morro de río","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR034,m3,"Garbancillo corriente de río (60/100)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR036,m3,"Garbancillo especial de río (40/60)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR038,m3,"Gravilla lavada de río (20/40)","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR040,m3,"Picón volcánico grueso seleccion","PICON (PIEDRA POMEZ)",,,1700,,,1700,0
P01AJR050,m3,"Jabre granítico cribado color","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AJR060,m3,"Piñoncillo selecc.río 10/12 mm.","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AL010,m3,"Arcilla expandida F-3 (3-10 mm) granel","ARLITA (ARCILLA EXPANDIDA)",,,350,,,350,0
P01AL020,m3,"Arcilla expandida  F-3 (3-10 mm) sacos","ARLITA (ARCILLA EXPANDIDA)",,,350,,,350,0
P01AL025,m3,"Arcilla expandida F-3 (3-10 mm) bomb.","ARLITA (ARCILLA EXPANDIDA)",,,350,,,350,0
P01AL040,m3,"Arcilla expandida F-5 (3-10mm) sacos","ARLITA (ARCILLA EXPANDIDA)",,,550,,,550,0
P01AL060,m3,"Arena A-5 (0-5mm) granel","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AL070,m3,"Arena A-5 (0-5mm) sacos","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AL100,m3,"Árido ligero tipo Perlita expandida B-6","PERLITA EXPANDIDA",,,80,,,80,0
P01AL110,m3,"Árido ligero tip.Perlita expandida B-10","PERLITA EXPANDIDA",,,80,,,80,0
P01AL115,m3,"Árido ligero tip.Perlita expandida B-12","PERLITA EXPANDIDA",,,80,,,80,0
P01AL120,m3,"Árido ligero tipo Perlita expandida B-13","PERLITA EXPANDIDA",,,80,,,80,0
P01AL130,m3,"Vermiculita expandida G-1","VERMICULITA EXPANDIDA",,,100,,,100,0
P01AL140,m3,"Vermiculita expandida G-2","VERMICULITA EXPANDIDA",,,100,,,100,0
P01AL150,m3,"Vermiculita expandida G-3","VERMICULITA EXPANDIDA",,,100,,,100,0
P01AR010,t,"Arena de miga reciclada","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AR020,t,"Zahorra 0-20 reciclada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR030,t,"Zahorra 0-40 reciclada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR040,t,"Grava 20-40 reciclada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR050,t,"Zahorra 0-60 reciclada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR060,t,"0-40 cerámico-hormigón reciclado","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR070,t,"20-40 cerámico-hormigón reciclado","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR080,t,"40-80 cerámico-hormigón reciclado","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR090,t,"0-6 material para relleno reciclado","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AR100,t,"6-14 garbancillo reciclado","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AS020,kg,"Árido especial grafito-carbono RV ESD/E-4","ARENA Y GRAVA MACHAQUEO",,,1,,,1,0
P01BC010,u,"Bloq.horm. celular 62,5x25x7","HORMIGON CELULAR",,,"6,015625",,,"6,015625",0
P01BC020,u,"Bloq.horm. celular 62,5x50x7","HORMIGON CELULAR",,,"12,03125",,,"12,03125",0
P01BC030,u,"Bloq.horm. celular 62,5x75x7","HORMIGON CELULAR",,,"18,046875",,,"18,046875",0
P01BC040,u,"Bloq.horm. celular 62,5x25x10","HORMIGON CELULAR",,,"8,59375",,,"8,59375",0
P01BC050,u,"Bloq.horm. celular 62,5x50x10","HORMIGON CELULAR",,,"17,1875",,,"17,1875",0
P01BC060,u,"Bloq.horm. celular 62,5x75x10","HORMIGON CELULAR",,,"25,78125",,,"25,78125",0
P01BC070,u,"Bloq.horm. celular 62,5x25x12,5","HORMIGON CELULAR",,,"10,7421875",,,"10,7421875",0
